AddinUtil.exe
AppInstaller.exe
Aspnet_Compiler.exe
At.exe
Atbroker.exe
Bash.exe
Bitsadmin.exe
CertOC.exe
CertReq.exe
Certutil.exe
Cmd.exe
Cmdkey.exe
cmdl32.exe
Cmstp.exe
Colorcpl.exe
ComputerDefaults.exe
ConfigSecurityPolicy.exe
Conhost.exe
Control.exe
Csc.exe
Cscript.exe
CustomShellHost.exe
DataSvcUtil.exe
Desktopimgdownldr.exe
DeviceCredentialDeployment.exe
Dfsvc.exe
Diantz.exe
Diskshadow.exe
Dnscmd.exe
Esentutl.exe
Eventvwr.exe
Expand.exe
Explorer.exe
Extexport.exe
Extrac32.exe
Findstr.exe
Finger.exe
fltMC.exe
Forfiles.exe
Fsutil.exe
Ftp.exe
Gpscript.exe
Hh.exe
IMEWDBLD.exe
Ie4uinit.exe
iediagcmd.exe
Ieexec.exe
Ilasm.exe
Infdefaultinstall.exe
Installutil.exe
Jsc.exe
Ldifde.exe
Makecab.exe
Mavinject.exe
Microsoft.Workflow.Compiler.exe
Mmc.exe
MpCmdRun.exe
Msbuild.exe
Msconfig.exe
Msdt.exe
Msedge.exe
Mshta.exe
Msiexec.exe
Netsh.exe
Ngen.exe
Odbcconf.exe
OfflineScannerShell.exe
OneDriveStandaloneUpdater.exe
Pcalua.exe
Pcwrun.exe
Pktmon.exe
Pnputil.exe
Presentationhost.exe
Print.exe
PrintBrm.exe
Provlaunch.exe
Psr.exe
Rasautou.exe
rdrleakdiag.exe
Reg.exe
Regasm.exe
Regedit.exe
Regini.exe
Register-cimprovider.exe
Regsvcs.exe
Regsvr32.exe
Replace.exe
Rpcping.exe
Rundll32.exe
Runexehelper.exe
Runonce.exe
Runscripthelper.exe
Sc.exe
Schtasks.exe
Scriptrunner.exe
Setres.exe
SettingSyncHost.exe
ssh.exe
Stordiag.exe
SyncAppvPublishingServer.exe
Tar.exe
Ttdinject.exe
Tttracer.exe
Unregmp2.exe
vbc.exe
Verclsid.exe
Wab.exe
wbadmin.exe
winget.exe
Wlrmdr.exe
Wmic.exe
WorkFolders.exe
Wscript.exe
Wsreset.exe
wuauclt.exe
Xwizard.exe
msedge_proxy.exe
msedgewebview2.exe
wt.exe
Advpack.dll
Desk.cpl
Dfshim.dll
Ieadvpack.dll
Ieframe.dll
Mshtml.dll
Pcwutl.dll
Scrobj.dll
Setupapi.dll
Shdocvw.dll
Shell32.dll
Shimgvw.dll
Syssetup.dll
Url.dll
Zipfldr.dll
Comsvcs.dll
AccCheckConsole.exe
adplus.exe
AgentExecutor.exe
AppCert.exe
Appvlp.exe
Bginfo.exe
Cdb.exe
coregen.exe
Createdump.exe
csi.exe
DefaultPack.EXE
Devinit.exe
Devtoolslauncher.exe
dnx.exe
Dotnet.exe
dsdbutil.exe
dtutil.exe
Dump64.exe
DumpMinitool.exe
Dxcap.exe
Excel.exe
Fsi.exe
FsiAnyCpu.exe
Mftrace.exe
Microsoft.NodejsTools.PressAnyKey.exe
MSAccess.exe
Msdeploy.exe
MsoHtmEd.exe
Mspub.exe
msxsl.exe
ntdsutil.exe
OpenConsole.exe
Powerpnt.exe
Procdump.exe
ProtocolHandler.exe
rcsi.exe
Remote.exe
Sqldumper.exe
Sqlps.exe
SQLToolsPS.exe
Squirrel.exe
te.exe
Teams.exe
TestWindowRemoteAgent.exe
Tracker.exe
Update.exe
VSDiagnostics.exe
VSIISExeLauncher.exe
Visio.exe
VisualUiaVerifyNative.exe
VSLaunchBrowser.exe
Vshadow.exe
vsjitdebugger.exe
Wfc.exe
WinProj.exe
Winword.exe
Wsl.exe
devtunnel.exe
vsls-agent.exe
vstest.console.exe
winfile.exe
xsd.exe
CL_LoadAssembly.ps1
CL_Mutexverifiers.ps1
CL_Invocation.ps1
Launch-VsDevShell.ps1
Manage-bde.wsf
Pubprn.vbs
Syncappvpublishingserver.vbs
UtilityFunctions.ps1
winrm.vbs
Pester.bat
